amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Super Smash Bros.,Pyra,Xenoblade Chronicles,22410000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_22410000-041e0002.png,Pyra,2023-07-21,2023-07-21,2023-07-21,2023-07-21,041e0002,Figure
Super Smash Bros.,Villager,Animal Crossing,01800000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01800000-00080002.png,Villager,2014-11-29,2014-11-28,2014-12-06,2014-11-21,00080002,Figure
Super Smash Bros.,Isabelle,Animal Crossing,01810000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810000-037d0002.png,Isabelle,2019-07-19,2019-07-19,2019-07-19,2019-07-26,037d0002,Figure
Super Smash Bros.,Ryu,Street fighter,34c00000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_34c00000-02530002.png,Ryu,2016-03-19,2016-03-18,2016-04-28,2016-03-18,02530002,Figure
Super Smash Bros.,Ganon,The Legend of Zelda,01020100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01020100-001b0002.png,Ganondorf,2015-07-04,2015-06-26,2015-06-11,2015-09-11,001b0002,Figure
Super Smash Bros.,Joker,Persona,3a000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_3a000000-03a10002.png,Joker,2020-09-25,2020-09-25,2020-09-25,2020-10-02,03a10002,Figure
Super Smash Bros.,Dark Samus,Metroid,05c30000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_05c30000-03800002.png,Dark Samus,2020-01-17,2020-01-17,2020-01-17,2020-01-17,03800002,Figure
Super Smash Bros.,Corrin,Fire Emblem,21050100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21050100-03630002.png,Corrin - Player 2,2017-07-22,2017-07-21,2017-07-21,2017-07-21,03630002,Figure
Super Smash Bros.,Duck Hunt,Classic Nintendo,07820000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07820000-002f0002.png,Duck Hunt,2015-09-26,2015-09-25,2015-10-29,2015-09-25,002f0002,Figure
Super Smash Bros.,Incineroar,Pokemon,1bd70000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_1bd70000-03860002.png,Incineroar,2019-11-15,2019-11-15,2019-11-08,2019-11-15,03860002,Figure
Super Smash Bros.,Bayonetta,Bayonetta,32400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_32400000-025b0002.png,Bayonetta,2017-07-22,2017-07-21,2017-07-21,2017-07-21,025b0002,Figure
Super Smash Bros.,Pokemon Trainer,Pokemon,1d400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_1d400000-03870002.png,Pokemon Trainer,2019-07-19,2019-07-19,2019-07-19,2019-07-26,03870002,Figure
Super Smash Bros.,Ridley,Metroid,05c20000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_05c20000-037f0002.png,Ridley,2018-12-07,2018-12-07,2018-12-07,2018-12-07,037f0002,Figure
Super Smash Bros.,Zelda,The Legend of Zelda,01010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010000-000e0002.png,Zelda,2014-12-12,2014-12-19,2014-12-06,2014-12-14,000e0002,Figure
Super Smash Bros.,Ness,Earthbound,22800000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_22800000-002c0002.png,Ness,2015-04-25,2015-04-24,2015-04-29,2015-05-29,002c0002,Figure
Super Smash Bros.,Palutena,Kid Icarus,07420000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07420000-001f0002.png,Palutena,2015-07-04,2015-06-26,2015-06-11,2015-07-24,001f0002,Figure
Super Smash Bros.,Sora,Kingdom Hearts,3f000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_3f000000-042e0002.png,Sora,2024-02-16,2024-02-16,2024-02-16,2024-02-16,042e0002,Figure
